,Star,n_Star,RAJ2000,DEJ2000,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg
0,1,,18 08 28.19,-18 03 07.48,8.8,3.0,47.4,1.4,M0.5,M7,Simbad,272.1174583333333,-18.05207777777778
1,2,,18 08 45.56,-19 52 54.99,14.8,0.3,56.1,0.8,M2.5,---,Simbad,272.1898333333333,-19.881941666666666
2,3,,18 09 17.11,-19 39 58.81,10.2,1.1,54.6,1.5,M2,---,Simbad,272.32129166666664,-19.66633611111111
3,4,,18 11 27.29,-17 50 14.10,6.5,4.2,48.5,0.5,M0.5,M7,Simbad,272.8637083333333,-17.837249999999997
4,5,,18 11 47.36,-19 29 15.68,3.3,0.6,53.3,2.3,M2,---,Simbad,272.9473333333333,-19.48768888888889
5,6,,18 13 15.62,-18 01 22.48,6.6,3.0,51.1,0.3,M1,---,Simbad,273.3150833333333,-18.02291111111111
6,7,,18 13 23.42,-18 58 18.66,2.1,0.8,37.9,2.2,K4,M4.5,Simbad,273.34758333333326,-18.97185
7,8,,18 13 36.72,-20 02 13.15,11.0,6.6,38.7,0.6,K4,M5,Simbad,273.40299999999996,-20.036986111111112
8,9,,18 13 49.15,-18 46 33.37,2.9,3.7,47.0,0.7,M0,M7,Simbad,273.4547916666666,-18.77593611111111
9,10,,18 14 06.83,-19 06 20.44,5.7,2.8,48.3,0.5,M0.5,M7,Simbad,273.52845833333333,-19.105677777777778
10,11,,18 14 45.94,-17 37 54.96,2.6,0.4,50.2,0.6,M1,---,Simbad,273.69141666666667,-17.631933333333333
11,12,,18 14 52.70,-17 32 00.19,9.4,1.5,48.3,0.4,M0.5,M7,Simbad,273.71958333333333,-17.533386111111113
12,13,,18 15 13.56,-18 03 40.54,10.0,1.1,50.3,0.7,M1,---,Simbad,273.80649999999997,-18.06126111111111
13,14,,18 15 32.37,-17 47 22.01,12.0,1.4,57.3,1.9,M3,---,Simbad,273.88487499999997,-17.789447222222226
14,15,,18 15 33.76,-18 09 04.81,11.4,3.3,48.2,1.1,M0.5,M7,Simbad,273.8906666666667,-18.15133611111111
15,16,,18 15 41.13,-16 46 45.73,2.0,4.6,52.6,1.3,M1.5,---,Simbad,273.92137499999995,-16.779369444444445
16,17,,18 15 58.32,-16 58 27.87,2.6,2.0,49.2,1.5,M0.5,M7,Simbad,273.993,-16.974408333333333
17,18,,18 15 59.61,-15 22 08.72,2.2,5.3,44.9,0.5,K5.5,M7,Simbad,273.99837499999995,-15.36908888888889
18,19,,18 16 57.20,-16 22 23.59,4.1,8.4,56.6,0.9,M2.5,---,Simbad,274.2383333333333,-16.373219444444445
19,20,,18 17 15.99,-14 05 54.35,1.2,4.4,47.6,0.4,M0.5,M7,Simbad,274.316625,-14.098430555555556
20,21,,18 17 28.65,-16 37 39.96,1.3,3.5,44.9,0.6,K5.5,M7,Simbad,274.369375,-16.627766666666666
21,22,,18 17 41.60,-13 56 28.05,0.4,2.5,46.5,1.5,M0,M7,Simbad,274.42333333333335,-13.941125
22,23,,18 17 52.12,-17 15 08.51,1.6,0.5,54.3,0.7,M2,---,Simbad,274.4671666666666,-17.25236388888889
23,24,,18 18 12.56,-16 29 13.26,-4.3,7.9,52.8,1.8,M1.5,---,Simbad,274.5523333333333,-16.48701666666667
24,25,,18 18 44.53,-16 51 08.98,-1.2,1.9,46.8,0.9,M0,M7,Simbad,274.68554166666667,-16.852494444444446
25,26,,18 18 46.60,-16 34 56.69,0.2,2.5,57.2,0.7,M3,---,Simbad,274.6941666666666,-16.58241388888889
26,27,,18 19 11.37,-15 31 09.96,12.0,10.4,58.9,4.8,M3.5,---,Simbad,274.79737499999993,-15.519433333333334
27,28,,18 19 27.24,-17 07 59.29,8.3,6.4,35.3,1.4,K3,M3.5,Simbad,274.86349999999993,-17.13313611111111
28,29,,18 20 16.13,-16 27 41.53,7.1,2.7,43.3,0.4,K5,M7,Simbad,275.06720833333327,-16.461536111111112
29,30,,18 20 26.51,-13 46 48.69,4.6,7.1,42.6,0.8,K5,M7,Simbad,275.11045833333327,-13.780191666666667
30,31,,18 20 54.67,-13 23 41.59,9.4,7.1,47.8,1.1,M0.5,M7,Simbad,275.2277916666666,-13.394886111111111
31,32,,18 21 00.94,-14 28 20.90,2.9,12.1,51.6,1.2,M1.5,---,Simbad,275.25391666666667,-14.472472222222223
32,33,,18 21 06.86,-15 03 40.20,3.2,0.6,48.6,1.0,M0.5,M7,Simbad,275.2785833333333,-15.061166666666667
33,34,,18 21 08.46,-15 32 09.10,3.0,0.9,65.3,0.8,M5,---,Simbad,275.28524999999996,-15.53586111111111
34,35,,18 21 24.28,-13 55 28.16,3.6,1.4,48.8,0.3,M0.5,M7,Simbad,275.35116666666664,-13.924488888888888
35,36,,18 23 01.08,-12 25 53.83,6.4,8.7,44.5,1.0,K5.5,M7,Simbad,275.75449999999995,-12.431619444444443
36,37,,18 23 04.12,-13 54 16.05,1.4,1.8,54.2,0.5,M2,---,Simbad,275.76716666666664,-13.904458333333334
37,38,,18 23 11.20,-13 57 58.05,1.7,1.5,49.3,0.3,M1,M7,Simbad,275.7966666666666,-13.966125
38,39,,18 24 09.91,-11 01 21.55,-4.2,4.1,45.1,0.9,K5.5,M7,Simbad,276.0412916666666,-11.022652777777779
39,40,,18 25 11.21,-11 40 56.73,4.2,4.8,53.3,0.6,M2,---,Simbad,276.29670833333336,-11.682425
40,41,,18 25 43.82,-11 53 36.90,1.7,3.0,46.1,2.4,M0,M7,Simbad,276.4325833333333,-11.893583333333332
41,42,,18 26 19.22,-14 06 48.76,-1.8,3.7,57.4,0.6,M3,---,Simbad,276.58008333333333,-14.113544444444445
42,43,,18 26 27.72,-09 35 18.97,-0.5,0.9,39.7,0.6,K4,M5.5,Simbad,276.61549999999994,-9.588602777777778
43,44,,18 27 33.54,-11 49 27.02,-1.0,7.0,45.9,0.5,M0,M7,Simbad,276.88974999999994,-11.824172222222222
44,45,,18 29 12.34,-12 19 40.85,-0.7,2.3,46.7,0.9,M0,M7,Simbad,277.3014166666666,-12.328013888888888
45,46,,18 30 18.90,-10 20 00.36,3.8,4.4,47.0,1.2,M0,M7,Simbad,277.57874999999996,-10.333433333333334
46,47,,18 31 04.61,-10 54 26.04,5.6,1.4,49.8,0.6,M1,M7,Simbad,277.7692083333333,-10.907233333333334
47,48,,18 31 58.82,-11 19 21.37,6.5,1.5,46.4,0.8,M0,M7,Simbad,277.9950833333333,-11.322602777777778
48,49,,18 33 28.70,-09 12 09.19,11.2,1.1,58.3,0.4,M3,---,Simbad,278.3695833333333,-9.202552777777777
49,50,,18 33 44.45,-06 59 47.41,6.1,2.9,49.8,0.7,M1,M7,Simbad,278.4352083333333,-6.996502777777778
50,51,,18 34 04.71,-09 07 17.67,9.0,1.7,47.0,2.2,M0,M7,Simbad,278.51962499999996,-9.121575
51,52,,18 34 07.13,-09 05 53.58,12.8,0.8,53.5,1.0,M2,---,Simbad,278.5297083333333,-9.098216666666668
52,53,,18 35 13.47,-07 44 58.14,6.7,4.1,40.7,1.1,K4.5,M6,Simbad,278.80612499999995,-7.749483333333333
53,54,,18 35 29.03,-07 21 12.60,6.9,4.6,55.2,0.8,M2.5,---,Simbad,278.87095833333325,-7.3534999999999995
54,55,,18 35 34.76,-07 56 48.52,3.3,1.8,47.0,1.5,M0,M7,Simbad,278.8948333333333,-7.946811111111112
55,56,,18 35 49.12,-07 34 43.09,0.8,1.8,49.9,0.5,M1,M7,Simbad,278.95466666666664,-7.578636111111111
56,57,,18 35 51.52,-07 30 11.36,1.5,0.4,59.0,0.6,M3.5,---,Simbad,278.96466666666663,-7.503155555555556
57,58,,18 37 46.52,-07 12 24.60,6.0,2.4,51.7,0.5,M1.5,---,Simbad,279.4438333333333,-7.206833333333334
58,59,,18 41 34.82,-04 48 58.00,1.4,3.1,51.3,0.4,M1.5,---,Simbad,280.3950833333333,-4.816111111111111
59,60,,18 41 48.35,-04 48 52.91,1.7,3.1,52.2,0.6,M1.5,---,Simbad,280.4514583333333,-4.814697222222222
60,61,,18 42 17.11,-04 41 16.98,1.1,1.0,52.7,0.8,M1.5,---,Simbad,280.57129166666664,-4.6880500000000005
61,62,,18 42 42.31,-04 40 53.36,1.0,1.0,57.7,0.4,M3,---,Simbad,280.67629166666666,-4.6814888888888895
62,63,,18 42 44.80,-04 33 57.39,4.2,4.3,48.7,1.1,M0.5,M7,Simbad,280.6866666666666,-4.565941666666666
63,64,,18 42 52.23,-03 46 18.48,0.2,1.1,55.6,0.7,M2.5,---,Simbad,280.71762499999994,-3.7718
64,65,,18 43 08.01,-03 56 24.05,0.8,0.4,55.3,0.9,M2.5,---,Simbad,280.7833749999999,-3.940013888888889
65,66,a,18 44 26.16,-03 35 27.61,0.1,3.8,48.9,0.7,M0.5,M7,Simbad,281.109,-3.5910027777777778
66,67,,18 46 44.42,-03 24 04.96,0.7,1.3,61.5,0.6,M4,---,Simbad,281.68508333333324,-3.401377777777778
67,68,,18 46 44.80,-03 03 32.19,1.2,3.1,54.0,0.4,M2,---,Simbad,281.6866666666666,-3.0589416666666667
68,69,,18 47 53.58,-01 47 15.08,0.3,2.3,53.3,0.5,M2,---,Simbad,281.97325,-1.787522222222222
69,70,,18 48 29.97,-02 11 50.01,1.4,1.4,51.7,0.6,M1.5,---,Simbad,282.124875,-2.197225
70,71,,18 53 57.32,+01 41 27.11,5.9,2.8,42.2,0.6,K5,M6.5,Simbad,283.4888333333333,1.690863888888889
71,72,,18 54 34.44,+01 53 04.60,4.7,1.6,50.0,0.8,M1,---,Simbad,283.64349999999996,1.884611111111111
72,73,,18 55 42.14,+03 40 04.56,10.5,1.6,45.7,0.4,M0,M7,Simbad,283.9255833333333,3.667933333333333
73,74,,18 56 58.50,+01 34 52.05,1.1,2.2,50.4,0.5,M1,---,Simbad,284.24375,1.581125
74,75,,18 58 04.34,+02 15 41.31,3.5,4.8,48.5,0.5,M0.5,M7,Simbad,284.51808333333327,2.261475
75,76,,18 58 53.84,+05 00 36.87,7.1,2.3,36.0,1.7,K3.5,M3.5,Simbad,284.7243333333333,5.0102416666666665
76,77,,19 00 12.29,+03 12 25.93,1.2,1.4,49.9,0.8,M1,M7,Simbad,285.0512083333333,3.207202777777778
77,78,,19 00 18.13,+03 25 41.33,5.9,2.8,49.2,0.5,M0.5,M7,Simbad,285.0755416666666,3.428147222222222
78,79,,19 02 10.62,+06 24 27.06,5.8,2.5,44.8,0.9,K5.5,M7,Simbad,285.54425,6.407516666666667
79,80,,19 05 19.33,+06 00 12.65,6.5,1.6,44.0,0.3,K5.5,M7,Simbad,286.3305416666666,6.003513888888889
80,81,,19 05 20.11,+08 48 57.14,7.9,2.7,45.9,0.4,M0,M7,Simbad,286.3337916666666,8.815872222222223
81,82,,19 06 07.20,+07 23 54.59,10.1,1.7,40.9,1.4,K4.5,M6,Simbad,286.53,7.398497222222223
82,83,,19 06 09.34,+05 58 44.39,1.4,1.6,45.2,1.4,K5.5,M7,Simbad,286.53891666666664,5.9789972222222225
83,84,,19 10 25.67,+08 18 52.38,3.8,2.9,50.4,0.6,M1,---,Simbad,287.6069583333333,8.31455
84,85,,19 12 59.96,+09 48 01.52,5.1,1.6,77.3,1.5,M7,---,Simbad,288.2498333333333,9.800422222222222
85,86,,19 13 01.14,+10 01 59.73,-0.9,2.0,49.9,0.3,M1,M7,Simbad,288.25474999999994,10.033258333333334
86,87,,19 14 14.14,+10 28 02.55,4.6,1.0,55.8,0.6,M2.5,---,Simbad,288.5589166666667,10.467375
87,88,,19 14 32.39,+09 16 59.91,9.7,2.6,45.1,0.7,K5.5,M7,Simbad,288.6349583333333,9.283308333333334
88,89,,19 16 21.04,+09 39 04.38,2.9,1.0,48.4,0.7,M0.5,M7,Simbad,289.0876666666666,9.651216666666667
89,90,,19 18 56.86,+14 11 08.14,-1.0,1.3,46.2,0.3,M0,M7,Simbad,289.7369166666667,14.185594444444444
90,91,,19 21 44.57,+13 37 22.45,4.6,2.5,51.7,0.4,M1.5,---,Simbad,290.4357083333333,13.622902777777778
91,92,,19 29 11.66,+17 46 03.89,1.6,2.2,44.3,0.3,K5.5,M7,Simbad,292.2985833333333,17.767747222222223
92,93,,19 32 03.81,+18 01 43.38,2.0,2.2,50.5,0.6,M1,---,Simbad,293.015875,18.028716666666664
93,94,,19 41 53.19,+22 41 36.64,8.4,5.8,48.2,1.1,M0.5,M7,Simbad,295.47162499999996,22.69351111111111
